postcode,SA2,2021,Area Name,2026
3054,206071140.0,8295.0,Carlton North - Princes Hill,"9,337"
3054,206071140.0,8295.0,Carlton North - Princes Hill,"9,337"
3055,206011105.0,26306.0,Brunswick,"33,919"
3055,206011107.0,14499.0,Brunswick West,"17,161"
3055,206011107.0,14499.0,Brunswick West,"17,161"
3055,206011107.0,14499.0,Brunswick West,"17,161"
3056,206011105.0,26306.0,Brunswick,"33,919"
3056,206011105.0,26306.0,Brunswick,"33,919"
3056,206011105.0,26306.0,Brunswick,"33,919"
3057,206011106.0,12963.0,Brunswick East,"16,282"
3057,206011106.0,12963.0,Brunswick East,"16,282"
3057,206011106.0,12963.0,Brunswick East,"16,282"
3058,206011108.0,26859.0,Coburg,"33,085"
3058,206011108.0,26859.0,Coburg,"33,085"
3058,210031236.0,8513.0,Coburg North,"10,680"
3058,210031236.0,8513.0,Coburg North,"10,680"
3058,206011108.0,26859.0,Coburg,"33,085"
3059,210051246.0,22391.0,Greenvale - Bulla,"27,114"
3060,210031237.0,14193.0,Fawkner,"16,582"
3060,210031237.0,14193.0,Fawkner,"16,582"
3060,210031237.0,14193.0,Fawkner,"16,582"
3061,210051243.0,16255.0,Campbellfield - Coolaroo,"17,822"
3062,210051249.0,24433.0,Roxburgh Park - Somerton,"27,356"
3063,210051246.0,22391.0,Greenvale - Bulla,"27,114"
3063,210051445.0,23477.0,Mickleham - Yuroke,"33,525"
3064,210051441.0,8197.0,Craigieburn - Central,"8,933"
3064,209041225.0,10747.0,Whittlesea,"19,163"
3064,210051445.0,23477.0,Mickleham - Yuroke,"33,525"
3064,210051445.0,23477.0,Mickleham - Yuroke,"33,525"
3064,210051249.0,24433.0,Roxburgh Park - Somerton,"27,356"
3065,206071142.0,10609.0,Fitzroy,"13,059"
3066,206071141.0,9348.0,Collingwood,"11,993"
3066,206071141.0,9348.0,Collingwood,"11,993"
3067,206071139.0,9262.0,Abbotsford,"12,103"
3068,206071145.0,9980.0,Yarra - North,"13,012"
3068,206071143.0,12955.0,Fitzroy North,"14,865"
3070,206021111.0,25657.0,Northcote,"30,539"
3070,206021111.0,25657.0,Northcote,"30,539"
3071,206021112.0,19152.0,Thornbury,"21,885"
