SA2,SA2 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
208031186,Chelsea - Bonbeach,11598,11683,11754,11758,11849,11970,12268,12580,13030,13277,13441,13680,13914,14091,14396,14833,15049,15197,15300,15403,15314
208031187,Chelsea Heights,5440,5394,5333,5301,5297,5248,5263,5299,5333,5349,5329,5358,5391,5443,5485,5538,5554,5561,5581,5556,5428
208031188,Cheltenham - Highett (East),19727,19689,19669,19731,19817,19969,20271,20425,20898,21083,21192,21556,22048,22533,22962,23449,23748,24220,24496,24775,24355
208031189,Edithvale - Aspendale,11587,11585,11580,11613,11627,11669,11803,11984,12223,12365,12488,12645,12784,12907,13152,13376,13431,13614,13805,13754,13663
208031190,Mentone,11561,11506,11474,11514,11524,11571,11682,11728,11936,12046,12224,12573,12768,13031,13332,13695,13778,13802,13870,13838,13304
208031191,Moorabbin - Heatherton,6484,6755,7162,7522,7707,7925,8113,8164,8262,8283,8368,8487,8607,8763,8952,9253,9393,9453,9527,9438,9198
208031192,Moorabbin Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,21,26
208031193,Mordialloc - Parkdale,16326,16781,17205,17459,17788,18126,18466,18836,19297,19437,19448,19832,20077,20316,20560,20969,21072,21341,21692,21752,21429
208041194,Malvern - Glen Iris,18525,18571,18728,18876,18966,19120,19276,19730,20108,20235,20279,20519,20729,20898,21009,21148,21222,21366,21578,21438,20482
208041195,Malvern East,19439,19584,19681,19904,20004,20308,20608,20848,20964,20975,20989,21271,21540,21868,22174,22575,22779,22973,23087,23062,22221
209011196,Bundoora - East,8890,8941,9004,9065,9193,9325,9447,9636,9836,9906,9888,9948,9997,10057,10136,10292,10308,10353,10365,10285,9925
209011197,Greensborough,21359,21126,20956,20687,20656,20717,20828,20909,20963,20995,20987,21008,21072,21140,21224,21348,21403,21444,21455,21346,20997
209011198,Heidelberg - Rosanna,12805,12856,12848,12813,12922,13063,13388,13544,13935,14098,14215,14498,14804,15047,15245,15532,15891,16142,16481,16627,16202
209011199,Heidelberg West,13300,13246,13234,13170,13224,13271,13385,13480,13694,13798,13984,14121,14267,14457,14634,14806,15047,15190,15527,15518,15038
209011200,Ivanhoe,10493,10440,10491,10480,10545,10713,10947,11275,11516,11587,11608,11655,11693,11734,11851,11998,12317,12634,12853,12867,12561
209011201,Ivanhoe East - Eaglemont,7656,7677,7704,7684,7747,7884,7923,7968,7999,8032,8041,8057,8068,8079,8088,8119,8121,8130,8138,7975,7801
209011202,Montmorency - Briar Hill,15726,15742,15700,15615,15651,15668,15769,15863,16110,16182,16165,16182,16222,16299,16508,16792,16858,16907,16940,16880,16658
209011203,Viewbank - Yallambie,18270,18170,18096,18037,18134,18286,18501,18642,18885,18874,18775,18782,18820,18882,18943,19018,19111,19205,19225,19162,18891
209011204,Watsonia,9468,9361,9280,9110,9077,9036,9174,9263,9310,9308,9320,9333,9371,9412,9459,9542,9545,9543,9494,9461,9303
209021205,Kingsbury,6084,6468,6929,7375,7986,8561,9323,9858,10419,10649,10821,11106,11349,11516,11730,11965,12093,12068,11789,11521,10564
209021207,Reservoir - East,24082,24046,24024,24153,24318,24666,24909,25115,25479,25662,25781,26379,26842,27285,27735,28420,28704,28898,29033,28929,27930
209021208,Reservoir - West,22957,22761,22599,22545,22534,22663,22829,23286,23627,23828,23969,24190,24453,24676,24910,25246,25395,25399,25342,25118,24135
209021428,Preston - East,16709,16669,16633,16736,16990,17145,17461,17980,18472,18780,19297,19551,19777,20127,20603,21192,21430,21526,21591,21716,20997
209021429,Preston - West,11144,11163,11122,11265,11428,11571,11689,11854,12030,12108,12103,12151,12269,12427,12616,12867,13029,13115,13229,13263,12828
209031209,Eltham,24279,24227,24189,24124,24051,23965,23898,23863,23865,23791,23651,23671,23738,23785,23849,24008,24061,24107,24129,24083,23711
209031210,Hurstbridge,3718,3698,3649,3645,3656,3665,3662,3697,3675,3668,3660,3645,3629,3611,3603,3605,3623,3622,3618,3625,3573
209031211,Kinglake,3677,3737,3787,3850,3927,4032,4023,4064,3567,3626,3671,3752,3810,3856,3922,3984,4047,4117,4148,4164,4235
209031212,Panton Hill - St Andrews,5103,5148,5184,5216,5286,5374,5365,5357,5329,5274,5227,5242,5269,5300,5342,5409,5425,5403,5318,5231,5124
209031213,Plenty - Yarrambat,7787,7888,8033,8220,8476,8722,8828,9047,9266,9344,9401,9512,9580,9666,9706,9794,9834,9850,9860,9751,9522
209031214,Research - North Warrandyte,6956,6917,6880,6853,6846,6843,6838,6852,6867,6859,6846,6878,6900,6921,6954,7007,7026,7015,6993,6987,6985
209031215,Wattle Glen - Diamond Creek,12601,12623,12517,12624,12787,12946,13267,13551,13783,13902,13931,13987,14058,14150,14221,14351,14417,14496,14484,14560,14539
209041216,Bundoora - North,2293,3037,3759,3950,4265,4643,4860,5048,5302,5496,5642,6072,6564,7065,7511,7959,7984,8001,7871,7753,7429
209041217,Bundoora - West,6949,6890,6788,6685,6638,6583,6527,6503,6479,6477,6503,6485,6473,6450,6440,6456,6454,6467,6472,6456,6239
209041219,Lalor,21412,21237,20980,20603,20349,20172,20182,20345,20527,20677,20782,21313,22013,22612,23290,23874,24205,24359,24418,24305,23663
209041220,Mill Park - North,18680,18853,18895,18938,19053,19275,19303,19360,19398,19219,19046,18841,18656,18710,18653,18712,18633,18586,18461,18255,17647
209041221,Mill Park - South,13680,13597,13498,13420,13384,13408,13355,13276,13205,12960,12810,12723,12625,12540,12510,12526,12412,12242,12037,11883,11342
209041223,Thomastown,22546,22382,22228,21869,21570,21422,21328,21398,21512,21526,21430,21420,21430,21432,21442,21485,21482,21445,21351,21152,20211
209041224,Wallan,7916,8421,9042,9562,10044,10330,10586,10938,11268,11643,12189,13090,14058,14859,15686,16747,17606,18718,20058,21497,22933
209041225,Whittlesea,5781,5931,6208,6440,6700,6778,6869,7004,7156,7381,7580,7762,7920,8049,8221,8436,8779,9108,9417,9777,10747
209041430,Doreen,466,559,815,1398,1990,2733,4150,5166,6916,9109,11066,13588,15902,17955,19641,21801,23082,24326,25400,26410,27064
209041431,Epping - East,9823,9921,10075,10176,10342,10580,10934,11304,11740,12035,12587,12857,13087,13272,13480,13738,13868,13921,13916,13776,13272
209041432,Epping - South,8556,8673,8646,8567,8588,8578,8571,8540,8514,8482,8433,8499,8533,8557,8627,8690,8763,8777,8759,8645,8282
209041433,Epping - West,655,645,635,619,615,617,1378,2310,3314,4027,6340,7253,8359,9351,10437,11484,12104,12421,12586,12536,12280
209041434,Mernda,831,781,774,777,779,783,1120,2102,3594,4872,6395,8412,10628,12565,14699,17171,19108,20550,22077,23077,23634
209041435,South Morang (North),514,987,1831,2451,3374,4163,5081,5912,6821,8649,9816,10880,11465,11838,12240,12675,12858,12940,12996,12923,12713
209041436,South Morang (South),4815,5780,6745,7495,7923,8410,8925,9802,10549,11375,11842,12061,12230,12354,12452,12558,12695,12759,12799,12839,12514
209041437,Wollert,389,356,338,348,323,346,355,376,418,424,528,1827,3387,5149,7204,9493,11897,14515,17265,20910,24762
210011226,Airport West,6997,6970,6952,6904,6870,6878,6920,6983,7067,7175,7234,7301,7390,7521,7694,7903,8014,8162,8380,8349,8237
210011227,Essendon Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,11,14
210011228,Keilor,9341,9257,9150,9080,9000,8937,8836,8800,8767,8678,8634,8662,8724,8806,8886,8993,9009,9005,8944,8766,8596
210011229,Keilor East,25899,25672,25363,25144,24954,24945,25026,25146,25269,25344,25394,25636,25964,26449,26960,27399,27579,27785,28073,28073,27645
210011230,Niddrie - Essendon West,5903,5929,5951,5979,6005,6089,6153,6280,6350,6458,6472,6594,6742,6896,7069,7250,7362,7498,7586,7635,7520
210011231,Strathmore,8838,8818,8803,8826,8907,8987,9036,9169,9378,9419,9397,9424,9499,9578,9729,9968,10152,10261,10302,10264,10108
210021232,Gisborne,9055,9172,9310,9500,9710,9823,10031,10364,10769,11055,11380,11783,12087,12404,12850,13312,13603,13895,14102,14219,14332
210021233,Macedon,3516,3499,3472,3474,3452,3459,3432,3391,3374,3329,3308,3354,3394,3443,3476,3525,3535,3539,3537,3531,3540
210021234,Riddells Creek,3471,3475,3500,3554,3565,3648,3697,3749,3801,3842,3882,3929,4008,4066,4113,4174,4247,4293,4334,4433,4494
210021235,Romsey,7425,7509,7656,7839,7989,8098,8207,8336,8585,8750,8832,8994,9091,9248,9389,9663,9893,10093,10360,10595,10832
210031236,Coburg North,6404,6381,6305,6293,6273,6293,6434,6490,6700,6784,6852,6969,7171,7474,7789,8112,8379,8582,8685,8763,8513
210031237,Fawkner,12297,12219,12164,12181,12167,12250,12481,12674,12970,13106,13171,13316,13527,13876,14185,14460,14668,14788,14907,14768,14193
210031239,Pascoe Vale,19181,19102,19069,19070,19153,19436,19927,20311,20887,21298,21506,22091,22609,23257,23913,24829,25322,25785,26012,26072,25385
210031438,Glenroy,18553,18446,18398,18521,18625,18812,19033,19326,19823,20196,20568,20983,21404,21969,22479,23153,23711,24259,24611,24784,23965
210031439,Gowanbrae,526,1001,1355,1543,1779,2053,2319,2516,2711,2769,2886,2907,2928,2956,2999,3042,3091,3118,3136,3152,3141
210031440,Hadfield,5711,5579,5481,5461,5424,5425,5423,5452,5506,5544,5571,5592,5648,5726,5803,5911,6017,6104,6265,6383,6295
210041240,Sunbury,10282,10508,10941,11492,11964,12210,12542,12777,12961,13050,13072,13077,13088,13129,13170,13238,13332,13443,13622,13837,13786
210041241,Sunbury - South,20226,20524,21106,21598,21966,22511,22884,23447,24128,24599,24940,25350,25685,26191,26779,27686,28345,29099,30226,31187,31658
210051242,Broadmeadows,12127,11987,11823,11617,11518,11465,11461,11551,11791,12048,12243,12486,12759,13136,13529,13916,14284,14547,14755,14733,14071
210051243,Campbellfield - Coolaroo,16125,16117,16040,15948,15917,15921,15997,16222,16455,16587,16735,16760,16836,16921,17013,17122,17164,17176,17135,16870,16255
210051245,Gladstone Park - Westmeadows,18851,18696,18505,18266,18165,18148,18115,18049,17980,17894,17771,17829,17894,17997,18135,18353,18486,18570,18596,18574,18178
210051246,Greenvale - Bulla,9950,10178,10573,11173,11636,12028,12248,12535,12902,13243,13543,13732,13991,14584,15629,17123,18256,19464,20298,21238,22391
210051247,Meadow Heights,15929,15761,15588,15310,15213,15167,15405,15580,15692,15759,15767,15739,15752,15764,15755,15779,15842,15867,15857,15824,15078
210051248,Melbourne Airport,149,148,144,142,137,133,138,141,144,149,158,165,173,179,187,194,181,168,155,142,129
210051249,Roxburgh Park - Somerton,10152,12040,13689,15162,16437,17476,18123,18856,19589,19907,20090,20576,21154,21727,22332,23041,23678,24215,24750,25004,24433
210051250,Tullamarine,6744,6718,6685,6630,6581,6583,6594,6605,6605,6580,6545,6550,6576,6636,6674,6698,6756,6816,6829,6817,6630
210051441,Craigieburn - Central,6842,7204,7547,7801,7909,7987,8033,8096,8118,8238,8335,8417,8524,8610,8654,8749,8834,8865,8839,8709,8197
210051442,Craigieburn - North,120,496,1079,1591,2292,3404,4749,5833,7019,7726,8479,9223,10095,10899,11518,12124,12605,12927,12995,12877,12448
210051443,Craigieburn - South,8654,8892,9176,9656,10028,10271,10727,11147,11606,12006,12691,13477,14422,15261,16009,16999,18281,19531,20643,21600,22005
210051444,Craigieburn - West,55,53,54,60,141,228,624,1266,2124,3251,4247,6073,8135,10244,12328,14882,16881,18384,20196,22106,23408
210051445,Mickleham - Yuroke,873,916,988,1065,1130,1192,1245,1231,1330,1468,1579,1723,1863,2209,2762,3580,5843,9235,13945,18372,23477
211011251,Bayswater,10728,10746,10792,10831,10867,10973,11124,11213,11361,11458,11635,11807,11995,12219,12415,12584,12690,12808,12934,12973,12707
211011254,Knoxfield - Scoresby,13242,13181,13113,13076,13066,13103,13164,13260,13389,13436,13471,13858,14236,14645,15140,15752,16206,16575,16905,16992,16733
211011255,Lysterfield,5516,5692,5923,6020,6090,6198,6380,6492,6695,6796,6807,6837,6869,6884,6898,6917,6916,6915,6884,6795,6656
211011256,Rowville - Central,16110,16095,16120,16096,16017,15980,15873,15955,15991,15998,15839,15832,15837,15839,15835,15864,15887,15883,15869,15804,15540
211011257,Rowville - North,5094,6235,6982,7127,7575,7965,8292,8409,8507,8491,8350,8352,8351,8347,8342,8352,8322,8261,8196,8112,7963
211011258,Rowville - South,9472,9802,10179,10337,10493,10720,10838,11026,11214,11265,11241,11191,11153,11099,11044,11000,10968,10918,10856,10741,10464
211011259,Wantirna,14733,14707,14561,14524,14383,14361,14383,14329,14334,14339,14320,14326,14338,14355,14376,14425,14534,14678,14765,14849,14450
211011260,Wantirna South,18014,18180,18164,18199,18191,18278,18238,18309,18304,18270,18176,18175,18243,18326,18437,18580,18591,18602,18612,18578,18102
211011446,Boronia,20673,20649,20653,20564,20568,20629,20802,21028,21227,21312,21461,21567,21740,22047,22430,22918,23226,23405,23669,23886,23831
211011447,Ferntree Gully (North),13461,13352,13288,13180,13121,13079,13099,13193,13579,13769,13815,13939,14041,14120,14214,14337,14406,14467,14520,14428,14249
211011448,Ferntree Gully (South) - Upper Ferntree Gully,14986,14873,14785,14638,14560,14651,14840,15012,15201,15177,15133,15148,15170,15179,15192,15230,15290,15402,15523,15494,15448
211011449,The Basin,4533,4485,4441,4401,4372,4376,4388,4397,4413,4418,4418,4417,4418,4419,4423,4441,4458,4466,4451,4409,4380
211021261,Donvale - Park Orchards,15852,15842,15816,15798,15878,15992,16064,16172,16222,16223,16152,16190,16282,16399,16520,16715,16760,16789,16758,16642,16406
211021262,Warrandyte - Wonga Park,9872,10006,10152,10193,10334,10411,10425,10443,10467,10480,10502,10508,10524,10538,10560,10613,10607,10583,10541,10392,10183
211031263,Bayswater North,11032,11054,11116,11188,11203,11219,11353,11577,11770,11819,11819,11866,11952,12033,12126,12257,12310,12382,12411,12316,11968
211031265,Croydon Hills - Warranwood,17649,17710,17702,17845,18084,18233,18263,18455,18728,18728,18613,18619,18664,18692,18697,18752,18768,18752,18710,18616,18235
211031266,Ringwood,15380,15350,15330,15247,15211,15222,15411,15701,16175,16410,16594,16882,17152,17410,17654,17931,18293,18490,18857,19132,18919
211031267,Ringwood East,18448,18389,18370,18353,18470,18532,18846,19067,19378,19454,19670,19818,19976,20300,20657,21031,21312,21478,21638,21755,21351
211031268,Ringwood North,9519,9515,9497,9504,9530,9541,9569,9599,9637,9660,9658,9711,9775,9857,9910,9991,10052,10066,10036,9919,9726
211031450,Croydon - East,12347,12484,12601,12683,12829,12945,13120,13366,13721,13879,14110,14349,14632,15012,15363,15724,15962,16167,16287,16378,16233
211031451,Croydon - West,10458,10626,10790,10849,10875,10991,11191,11397,11622,11666,11738,12062,12475,12891,13343,13805,14111,14313,14505,14542,14247
211031452,Croydon South,4463,4418,4376,4356,4335,4330,4387,4469,4574,4647,4678,4692,4728,4785,4824,4856,4899,4914,4944,5008,4936
211041269,Forest Hill,9976,9965,9963,9973,9976,10010,10124,10180,10321,10370,10430,10483,10636,10772,10874,11074,11192,11251,11193,11151,10866
211041270,Mitcham (Vic.),14232,14378,14524,14635,14734,14852,14976,15102,15208,15265,15346,15804,16205,16482,16686,16859,17077,17220,17268,17318,16935
211041271,Nunawading,10693,10639,10526,10478,10466,10553,10846,10985,11200,11276,11382,11576,11742,11867,12089,12363,12623,12778,12829,12846,12522
211041272,Vermont,9544,9538,9522,9533,9561,9705,9860,9988,10147,10214,10261,10392,10517,10619,10750,10896,11021,11137,11251,11324,11083
211041273,Vermont South,12228,12120,11988,11928,11865,11905,11915,11906,11968,11964,11891,11946,12004,12070,12143,12251,12344,12382,12375,12288,12044
211051274,Belgrave - Selby,10742,10769,10743,10685,10565,10510,10531,10495,10504,10475,10414,10416,10423,10424,10429,10453,10448,10423,10370,10328,10095
211051275,Chirnside Park,8807,9003,9078,9074,9135,9212,9251,9307,9387,9420,9422,9497,9590,9711,9941,10266,10672,11036,11454,11749,11873
211051276,Healesville - Yarra Glen,11841,12049,12291,12403,12532,12539,12571,12721,12991,13135,13175,13370,13597,13754,13900,14106,14226,14356,14405,14315,14181
211051277,Kilsyth,8661,8626,8622,8599,8576,8602,8625,8668,8737,8768,8773,8918,9047,9139,9280,9470,9591,9678,9869,9948,9980
211051278,Lilydale - Coldstream,16176,16472,16656,16719,16904,17169,17445,17889,18306,18454,18517,18668,18778,18925,19212,19448,19646,19806,19891,19923,19783
211051279,Monbulk - Silvan,5753,5743,5712,5680,5623,5609,5649,5707,5736,5747,5732,5774,5788,5791,5791,5827,5856,5859,5845,5868,5857
211051280,Montrose,6852,6811,6791,6761,6738,6739,6772,6830,6921,6955,6966,6987,7004,7011,7031,7078,7123,7134,7104,7043,6995
211051281,Mooroolbark,19556,19549,19524,19550,19690,19863,20181,20506,20870,21073,21321,21525,21824,22208,22604,23027,23395,23571,23822,23888,23447
211051282,Mount Dandenong - Olinda,9787,9769,9764,9762,9769,9778,9843,9903,9974,10035,10060,10062,10064,10065,10066,10109,10079,10066,10042,9940,9771
211051283,Mount Evelyn,9396,9378,9356,9350,9357,9395,9427,9466,9561,9597,9615,9695,9768,9839,9941,10081,10096,10077,10047,9933,9863
211051284,Upwey - Tecoma,10357,10360,10310,10256,10148,10096,10070,10072,10095,10085,10067,10045,10026,10017,10019,10040,10032,10016,9986,9938,9848
211051285,Wandin - Seville,7112,7190,7227,7241,7241,7316,7372,7446,7560,7608,7646,7658,7700,7748,7798,7884,7935,8003,7987,7982,7959
211051286,Yarra Valley,15932,15928,15865,15831,15788,15820,15949,16078,16227,16318,16347,16409,16460,16496,16537,16622,16717,16849,16944,16984,16948
212011287,Beaconsfield - Officer,3707,4153,4852,5643,6244,6773,6878,7166,7559,7769,8223,8931,9610,10331,11784,13612,15653,18020,20621,22826,24101
212011288,Bunyip - Garfield,7628,7696,7699,7743,7766,7848,7859,8016,8234,8330,8383,8514,8610,8700,8796,8928,9051,9243,9498,9764,9991
212011289,Emerald - Cockatoo,16964,17062,17173,17332,17454,17628,17699,17793,17902,17969,18012,18072,18144,18241,18375,18580,18677,18759,18821,18808,18797
212011290,Koo Wee Rup,5231,5264,5354,5396,5531,5751,5773,5884,6223,6419,6695,6887,7042,7204,7397,7666,7902,8052,8411,8950,10107
212011291,Pakenham - North,6251,6294,6472,6966,7062,7621,8247,9192,10416,11740,12999,14397,15782,16974,18074,19370,20332,21173,21950,22572,23034
212011292,Pakenham - South,7186,7514,8598,9869,11197,12437,14078,15787,17761,19806,21687,23781,25571,26800,28050,29580,30744,31751,32711,33538,33639
212021293,Berwick - North,19094,19611,20228,20807,21209,21547,21826,22326,22695,22909,23042,23183,23336,23455,23614,23824,23901,23835,23858,23682,23187
212021294,Berwick - South,8433,10348,12086,13412,15001,16331,18333,20093,21880,23118,23681,24316,24806,25336,25990,26874,27584,28220,28740,29072,29339
212021295,Doveton,10072,9987,9918,9834,9769,9672,9823,9979,10192,10436,10695,10919,11207,11484,11665,11867,12091,12252,12335,12498,12061
212021297,Hallam,8977,9267,9519,9697,9855,9923,10038,10228,10430,10582,10628,10757,10885,11017,11125,11335,11512,11690,11902,11956,11603
212021299,Narre Warren North,5422,5577,5789,6014,6279,6388,6493,6695,6963,7096,7216,7377,7524,7712,7909,8183,8275,8367,8376,8356,8310
212021453,Endeavour Hills - North,12477,12429,12396,12374,12325,12283,12260,12279,12371,12425,12459,12468,12477,12475,12477,12499,12523,12560,12538,12442,12191
212021454,Endeavour Hills - South,14934,14828,14788,14758,14686,14578,14490,14483,14398,14308,14191,14184,14177,14156,14139,14160,14121,14050,13977,13828,13464
212021455,Narre Warren - North East,12517,12909,13170,13446,13517,13556,13644,13755,13731,13698,13657,13705,13771,13838,13890,13967,14006,14020,13998,13871,13620
212021456,Narre Warren - South West,12168,12338,12514,12729,12755,12814,12912,12987,13138,13252,13297,13495,13744,14016,14230,14544,14765,14941,15085,15153,14905
212031300,Cranbourne,13392,13480,13766,14282,14665,15071,15913,17059,18016,18859,19169,19510,19926,20250,20568,20888,21197,21397,21493,21642,21580
212031301,Cranbourne East,1123,1562,2192,2749,3425,4230,4858,5350,6211,6844,8344,10356,12532,16034,21199,26754,32567,39633,47921,55489,61850
212031302,Cranbourne North,9876,9611,9462,9559,9565,9886,10632,11516,12536,13655,14826,15944,16945,18101,19505,20985,22315,23481,24382,24947,24962
212031303,Cranbourne South,4798,4776,4764,4851,4925,5070,5141,5419,5833,6311,6880,7357,7950,8355,8703,9116,9568,10703,12840,15345,17613
212031304,Cranbourne West,4022,4872,5831,6607,7238,7584,7880,8208,8571,8837,9000,9933,11210,12651,13995,15685,17148,18606,19757,20823,21834
212031305,Hampton Park - Lynbrook,20384,20853,21566,22212,22485,22646,22851,23377,23904,24432,24744,24973,25295,25765,26239,26780,27087,27361,27505,27334,26384
212031306,Lynbrook - Lyndhurst,1507,2057,2658,3320,4091,5130,6319,7660,9002,10529,12107,12994,14042,14794,15459,16067,16660,17217,17612,18092,18270
212031308,Pearcedale - Tooradin,6938,7043,7181,7311,7537,7571,7559,7552,7574,7623,7706,7718,7752,7811,7896,8035,8086,8140,8151,8128,8082
212031457,Narre Warren South (East),5948,7538,9071,9973,10714,11480,11978,12413,12828,13045,13157,13296,13476,13561,13604,13713,13728,13694,13595,13396,13266
212031458,Narre Warren South (West),8362,9828,11753,12711,13780,14680,15546,16150,16405,16512,16483,16755,16968,17126,17321,17513,17643,17617,17522,17334,16932
212041309,Clarinda - Oakleigh South,12807,12626,12500,12455,12367,12334,12241,12224,12223,12234,12199,12218,12248,12272,12290,12323,12312,12276,12212,12119,11656
212041310,Clayton South,11290,11132,11009,10961,10947,10961,11068,11456,11884,12078,12254,12569,12823,13000,13141,13296,13418,13654,14087,14139,13570
212041311,Dandenong,22534,22665,22687,22724,22980,23246,24232,25250,25915,26613,27414,28577,29850,30987,31909,32700,33087,33294,33348,32879,31330
212041312,Dandenong North,23088,22990,22860,22832,22815,22847,22875,22965,23010,22983,22949,23056,23178,23302,23449,23684,23824,23914,23953,23627,22839
212041313,Dingley Village,10390,10395,10381,10370,10375,10374,10420,10454,10505,10549,10568,10597,10616,10608,10603,10611,10646,10692,10756,10722,10554
212041314,Keysborough,17094,16860,16805,16922,17335,18050,18929,19777,20489,20479,20848,21808,23054,24327,25758,27471,28501,29380,30105,30487,30488
212041316,Noble Park North,8299,8120,8028,7947,7861,7804,7769,7764,7802,7762,7753,7754,7763,7783,7826,7871,7870,7853,7821,7753,7520
212041317,Springvale,18557,18581,18603,18641,18716,19033,19245,19586,19969,20353,20712,20940,21132,21505,22188,22761,23210,23540,23763,23636,22537
212041318,Springvale South,11607,11602,11603,11678,11738,12064,12217,12452,12650,12715,12687,12764,12844,12964,13065,13227,13295,13321,13331,13285,12738
212041459,Noble Park - East,9827,9884,9945,10023,10088,10284,10660,10947,11381,11639,11931,12116,12331,12581,12801,13073,13294,13482,13590,13596,12901
212041460,Noble Park - West,16718,16634,16529,16526,16521,16740,16933,17143,17524,17668,17873,18101,18350,18686,19065,19435,19784,20015,20260,20215,19818
212051319,Ashwood - Chadstone,14503,14648,14710,14835,15243,15612,15966,16191,16560,16658,16979,17522,18002,18437,18835,19308,19757,19966,20244,20302,19790
212051320,Clayton,14237,14707,15249,15447,15933,16442,16732,16836,17285,17583,18698,19686,20645,21471,22510,23672,24637,25382,25603,25801,22492
212051321,Glen Waverley - East,21261,21164,21112,21064,21086,21180,21242,21294,21481,21499,21561,21689,21813,21922,22020,22153,22374,22559,22699,22667,21899
212051322,Glen Waverley - West,17233,17447,17587,17797,18012,18359,18568,18837,19187,19366,19303,19453,19644,19799,19951,20151,20506,20896,21328,21731,21324
212051323,Mount Waverley - North,14479,14484,14498,14548,14612,14722,14926,15078,15379,15579,15657,15699,15759,15822,15903,16053,16225,16340,16456,16628,16241
212051324,Mount Waverley - South,16422,16441,16436,16493,16551,16737,16962,17350,17792,17921,17889,18145,18407,18698,18940,19291,19585,19899,20069,20037,19475
212051325,Mulgrave,16951,16788,16633,16648,16747,16866,17227,17641,18028,18296,18517,18977,19466,19874,20181,20462,20517,20609,20667,20675,20078
212051326,Oakleigh - Huntingdale,19135,19156,19215,19339,19487,19701,19988,20410,20805,21049,21232,21448,21662,21929,22225,22617,22986,23247,23554,23689,23254
212051327,Wheelers Hill,21532,21213,20944,20755,20642,20627,20489,20431,20416,20295,20125,20165,20209,20450,20727,20880,20970,21033,21116,21164,20854
213011328,Ardeer - Albion,6640,6597,6560,6523,6523,6556,6559,6758,7087,7334,7387,7520,7668,7773,7937,8202,8226,8224,8178,8075,7595
213011329,Cairnlea,366,1133,2325,3742,5255,6322,7362,8121,8788,9099,9311,9550,9698,9857,10040,10206,10357,10437,10442,10498,10144
213011330,Deer Park - Derrimut,13379,13178,13171,13334,13644,14072,15447,17051,19433,21390,23136,24271,25344,26157,26746,27536,28018,28311,28333,27964,26981
213011331,Delahey,8056,8388,8665,8851,8954,9049,9042,9038,9003,8896,8769,8777,8792,8807,8815,8841,8793,8727,8658,8526,8154
213011332,Keilor Downs,15322,15215,15060,14864,14697,14543,14406,14335,14281,14232,14192,14130,14070,14014,13960,13943,13914,13859,13751,13548,13193
213011333,Kings Park (Vic.),15569,15419,15161,14998,14796,14656,14529,14471,14404,14359,14305,14306,14316,14336,14373,14447,14572,14612,14639,14461,14081
213011334,St Albans - North,19101,18988,18841,18748,18824,18746,18884,19102,19343,19562,19800,19887,20037,20220,20490,21064,21455,21714,21835,21643,20850
213011335,St Albans - South,17009,16812,16507,16328,16148,15963,15975,16187,16535,16882,17092,17179,17310,17503,17725,18025,18338,18484,18547,18368,17666
213011336,Sunshine,7980,8032,8093,8150,8244,8345,8473,8710,8936,9129,9238,9392,9618,9843,10083,10241,10300,10313,10301,10092,9576
213011337,Sunshine North,10478,10481,10452,10486,10473,10505,10525,10592,10770,10982,11108,11302,11489,11693,11890,12123,12317,12452,12478,12436,12163
213011338,Sunshine West,16700,16618,16519,16474,16443,16450,16444,16629,17042,17303,17512,17880,18196,18596,19013,19533,19779,19882,19900,19613,18779
213011339,Sydenham,9837,10437,10657,10905,11061,11187,11421,11573,11750,11924,12058,12158,12254,12335,12432,12585,12657,12672,12651,12421,11866
213011340,Taylors Lakes,17435,17944,18263,18470,18687,18900,19101,19194,19258,19125,18954,18764,18657,18532,18474,18455,18305,18161,17957,17591,17071
213021341,Altona,12221,12120,12045,11919,11864,11857,11915,12041,12152,12213,12260,12361,12544,12757,12979,13206,13436,13645,13845,13857,13652
213021342,Altona Meadows,19168,19342,19476,19283,19379,19411,19707,19746,19895,19780,19565,19573,19617,19690,19818,20106,20156,20087,20014,19477,18665
213021343,Altona North,13206,13121,12995,12906,12869,12844,12877,12974,13150,13366,13558,13786,14003,14271,14519,14787,14992,15174,15386,15377,15086
213021344,Newport,14723,14823,14921,14984,15186,15474,15864,16182,16493,16670,16798,17106,17399,17756,18134,18523,18718,18961,19243,19389,18985
213021345,Seabrook,4900,5006,5057,5091,5124,5156,5175,5192,5201,5218,5219,5232,5265,5305,5352,5408,5416,5394,5365,5245,5002
213021346,Williamstown,14056,14275,14363,14449,14550,14751,14950,15119,15400,15393,15354,15470,15578,15781,16006,16389,16494,16642,16777,16635,16074
213031347,Braybrook,12851,12995,13028,13039,13184,13482,14178,14881,15633,16343,16719,17177,17708,18296,18759,19224,19548,19686,19792,19876,19361
213031348,Footscray,11564,11562,11615,11619,11731,11828,12085,12462,12815,13214,14025,14397,15280,16127,16762,17343,17665,17891,18037,18068,17420
213031349,Maribyrnong,5972,6571,7244,7624,8026,8550,9204,9736,10125,10510,10671,11186,11692,12118,12562,12950,13156,13195,13230,13247,12715
