SA2,SA2 NAME,Earners,Median age of earners (years),Sum ($),Median ($),Mean ($)
213011339,Sydenham,"6,974", 39 ,"387,143,533","49,930","55,512"
213011340,Taylors Lakes,"11,001", 46 ,"698,154,131","53,445","63,463"
213021341,Altona,"8,061", 43 ,"580,306,826","60,433","71,989"
213021342,Altona Meadows,"10,928", 40 ,"642,919,175","53,710","58,832"
213021343,Altona North,"7,539", 38 ,"493,062,953","56,991","65,402"
213021344,Newport,"11,533", 41 ,"961,888,697","69,816","83,403"
213021345,Seabrook,"3,020", 41 ,"184,735,807","53,840","61,171"
213021346,Williamstown,"10,154", 47 ,"958,028,224","65,886","94,350"
213031347,Braybrook,"10,693", 34 ,"565,601,826","45,758","52,895"
213031348,Footscray,"11,301", 33 ,"652,076,504","49,243","57,701"
213031349,Maribyrnong,"8,528", 36 ,"566,293,860","54,054","66,404"
213031350,Seddon - Kingsville,"6,027", 39 ,"471,420,532","66,372","78,218"
213031351,West Footscray - Tottenham,"7,505", 36 ,"472,777,662","54,086","62,995"
213031352,Yarraville,"9,714", 40 ,"807,524,223","69,410","83,130"
213041353,Bacchus Marsh,"12,832", 42 ,"812,107,265","55,049","63,288"
213041355,Hillside,"13,769", 39 ,"859,239,530","55,436","62,404"
213041356,Melton,"10,019", 40 ,"538,426,019","49,429","53,740"
213041357,Melton South,"14,613", 37 ,"820,527,193","51,631","56,150"
213041358,Melton West,"10,446", 38 ,"577,789,936","50,890","55,312"
213041359,Rockbank - Mount Cottrell,"3,367", 35 ,"191,944,310","51,869","57,008"
213041360,Taylors Hill,"10,902", 40 ,"690,793,552","55,206","63,364"
213041461,Burnside,"2,803", 41 ,"158,207,119","51,099","56,442"
213041462,Burnside Heights,"3,419", 38 ,"202,846,448","53,194","59,329"
213041463,Caroline Springs,"11,530", 41 ,"738,554,425","56,469","64,055"
213051361,Hoppers Crossing - North,"11,451", 40 ,"645,435,168","50,021","56,365"
213051362,Hoppers Crossing - South,"10,907", 39 ,"566,429,792","46,357","51,933"
213051363,Laverton,"6,951", 34 ,"397,099,029","48,242","57,128"
213051365,Tarneit,"25,458", 35 ,"1,400,237,891","49,502","55,002"
213051366,Truganina,"17,078", 35 ,"946,544,389","49,591","55,425"
213051368,Werribee - South,"8,336", 41 ,"528,354,230","54,254","63,382"
213051369,Wyndham Vale,"15,141", 36 ,"878,728,157","53,042","58,036"
213051464,Point Cook - East,"9,880", 38 ,"678,916,585","54,778","68,716"
213051465,Point Cook - North,"13,669", 40 ,"890,452,055","55,479","65,144"
213051466,Point Cook - South,"10,044", 37 ,"685,206,949","59,244","68,221"
213051467,Werribee - East,"10,231", 39 ,"541,760,223","48,183","52,953"
213051468,Werribee - West,"9,783", 37 ,"594,999,767","54,038","60,820"
214011370,Carrum Downs,"12,512", 39 ,"706,682,933","52,775","56,480"
214011371,Frankston,"13,243", 41 ,"732,747,364","49,025","55,331"
214011372,Frankston North,"9,834", 40 ,"495,642,667","47,096","50,401"
214011373,Frankston South,"11,338", 46 ,"759,553,151","52,775","66,992"
214011374,Langwarrin,"14,904", 42 ,"925,961,602","54,344","62,128"
214011375,Seaford (Vicnp),"9,736", 42 ,"568,196,334","52,561","58,360"
214011376,Skye - Sandhurst,"8,253", 42 ,"543,151,927","56,067","65,813"
214021377,Dromana,"7,194", 49 ,"430,105,453","45,133","59,787"
214021378,Flinders,"3,770", 54 ,"309,813,173","48,001","82,179"
214021379,Hastings - Somers,"12,638", 44 ,"718,730,635","47,771","56,871"
214021380,Mornington,"14,806", 48 ,"922,041,718","48,011","62,275"
214021381,Mount Eliza,"11,642", 49 ,"1,004,905,998","57,054","86,317"
214021382,Mount Martha,"11,837", 48 ,"846,089,763","51,240","71,478"
214021383,Point Nepean,"10,772", 50 ,"663,023,638","42,054","61,551"
214021384,Rosebud - McCrae,"11,356", 48 ,"559,703,486","41,225","49,287"
214021385,Somerville,"11,527", 44 ,"697,097,022","50,618","60,475"
215011386,Ararat,"4,213", 46 ,"220,255,875","46,014","52,280"
215011387,Ararat Region,"1,890", 50 ,"114,261,122","47,161","60,456"
215011388,Horsham,"9,682", 44 ,"530,774,083","48,609","54,821"
215011389,Horsham Region,"2,227", 49 ,"130,847,862","48,229","58,755"
215011390,Nhill Region,"3,917", 50 ,"251,100,489","47,884","64,105"
215011391,St Arnaud,"1,871", 50 ,"92,074,351","40,796","49,211"
215011392,Stawell,"4,657", 48 ,"243,544,214","46,277","52,296"
215011393,West Wimmera,"1,616", 51 ,"106,292,278","48,912","65,775"
215011394,Yarriambiack,"3,555", 51 ,"186,537,845","44,238","52,472"
215021395,Irymple,"4,121", 44 ,"238,536,200","48,528","57,883"
215021396,Merbein,"2,612", 45 ,"130,741,309","44,855","50,054"
215021398,Mildura Region,"2,058", 48 ,"100,131,275","42,224","48,655"
215021399,Red Cliffs,"3,188", 43 ,"149,188,367","42,024","46,797"
215021469,Mildura - North,"10,131", 42 ,"539,782,287","44,735","53,280"
215021470,Mildura - South,"8,944", 42 ,"476,213,771","47,259","53,244"
215031400,Buloke,"3,412", 51 ,"161,722,190","40,194","47,398"
215031401,Gannawarra,"3,642", 49 ,"167,870,345","40,105","46,093"
215031402,Kerang,"2,016", 50 ,"95,820,138","41,578","47,530"
215031403,Robinvale,"2,028", 39 ,"114,932,525","40,631","56,673"
215031404,Swan Hill,"6,482", 42 ,"351,742,685","47,032","54,265"
215031405,Swan Hill Region,"3,593", 46 ,"190,111,967","45,118","52,912"
216011406,Echuca,"9,084", 46 ,"495,079,836","46,573","54,500"
216011407,Kyabram,"6,189", 46 ,"294,342,836","43,561","47,559"
216011408,Lockington - Gunbower,"2,267", 47 ,"107,001,159","42,995","47,199"
216011409,Rochester,"2,215", 48 ,"106,477,960","42,145","48,071"
216011410,Rushworth,"2,094", 50 ,"94,881,066","39,503","45,311"
216021411,Cobram,"3,301", 44 ,"164,702,353","43,338","49,895"
216021412,Moira,"1,621", 49 ,"79,764,690","41,048","49,207"
216021413,Numurkah,"6,938", 47 ,"318,126,496","42,225","45,853"
216021414,Yarrawonga,"4,310", 48 ,"214,220,865","41,980","49,703"
216031415,Mooroopna,"4,196", 43 ,"201,300,338","45,031","47,974"
216031416,Shepparton - North,"11,076", 43 ,"648,674,147","49,055","58,566"
216031417,Shepparton - South,"12,980", 41 ,"675,475,553","44,866","52,040"
216031418,Shepparton Region - East,"2,510", 48 ,"121,351,423","43,882","48,347"
216031419,Shepparton Region - West,"5,784", 46 ,"293,956,111","44,940","50,822"
217011420,Glenelg (Vicnp),"5,052", 50 ,"269,029,754","45,234","53,252"
217011421,Hamilton (Vicnp),"5,842", 47 ,"308,476,425","45,492","52,803"
217011422,Portland,"6,027", 46 ,"344,255,035","47,803","57,119"
217011423,Southern Grampians,"3,748", 50 ,"208,367,680","45,499","55,594"
217031471,Camperdown,"1,928", 49 ,"98,146,946","44,698","50,906"
217031472,Colac,"7,434", 42 ,"389,983,249","47,628","52,459"
217031473,Colac Region,"3,519", 47 ,"166,453,772","41,860","47,301"
217031474,Corangamite - North,"3,006", 49 ,"165,934,389","45,668","55,201"
217031475,Corangamite - South,"4,425", 48 ,"212,721,583","40,261","48,073"
217031476,Otway,"2,360", 51 ,"109,617,595","36,219","46,448"
217041477,Moyne - East,"4,081", 46 ,"226,791,976","46,071","55,573"
217041478,Moyne - West,"5,852", 48 ,"325,059,577","45,256","55,547"
217041479,Warrnambool - North,"13,157", 43 ,"738,088,967","48,855","56,099"
217041480,Warrnambool - South,"8,052", 44 ,"469,001,061","47,242","58,247"
