DATAFLOW,SEXP: Sex,INCP: Total personal income (weekly),AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206031115: Flemington,SA2: Statistical Area Level 2,2: Victoria,2021,4153
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,297979799: Migratory - Offshore - Shipping (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,36
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,210031536: Glenroy - West,SA2: Statistical Area Level 2,2: Victoria,2021,7409
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,210051443: Craigieburn - South,SA2: Statistical Area Level 2,2: Victoria,2021,8111
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,211011448: Ferntree Gully (South) - Upper Ferntree Gully,SA2: Statistical Area Level 2,2: Victoria,2021,6461
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,202011020: East Bendigo - Kennington,SA2: Statistical Area Level 2,2: Victoria,2021,6347
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,217011421: Hamilton (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,4072
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,206011496: Brunswick - South,SA2: Statistical Area Level 2,2: Victoria,2021,11764
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206061135: Armadale,SA2: Statistical Area Level 2,2: Victoria,2021,3649
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206011106: Brunswick East,SA2: Statistical Area Level 2,2: Victoria,2021,5317
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,209011199: Heidelberg West,SA2: Statistical Area Level 2,2: Victoria,2021,12405
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,211041272: Vermont,SA2: Statistical Area Level 2,2: Victoria,2021,4528
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212041312: Dandenong North,SA2: Statistical Area Level 2,2: Victoria,2021,9248
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212041318: Springvale South,SA2: Statistical Area Level 2,2: Victoria,2021,5225
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206051512: South Melbourne,SA2: Statistical Area Level 2,2: Victoria,2021,5345
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,210051247: Meadow Heights,SA2: Statistical Area Level 2,2: Victoria,2021,5697
